,Player,Pos,3P,2P,TRB,AST,STL,BLK
83,Jevon Carter,PG,0.9,0.6,1.5,1.2,0.5,0.2
84,Michael Carter-Williams,SG,0.5,2.9,4.5,4.2,0.8,0.5
85,Alex Caruso,PG,0.9,1.3,2.9,2.8,1.1,0.3
86,Chris Chiozza,PG,0.6,0.8,1.1,3.0,0.3,0.3
87,Jordan Clarkson,SG,3.1,3.7,4.0,2.5,0.9,0.1
88,Amir Coffey,SG,0.5,0.5,1.0,0.5,0.2,0.0
89,Mike Conley,PG,2.7,2.9,3.5,6.0,1.4,0.2
90,Pat Connaughton,SG,1.5,1.0,4.8,1.2,0.7,0.3
91,Quinn Cook,PG,0.5,0.8,0.7,0.8,0.2,0.0
92,Jarrett Culver,SG,0.4,1.6,3.1,0.7,0.5,0.3
93,Seth Curry,SG,2.2,2.3,2.4,2.7,0.8,0.1
94,Stephen Curry,PG,5.3,5.1,5.5,5.8,1.2,0.1
95,Nate Darling,SG,0.3,0.0,0.1,0.1,0.0,0.1
96,Terence Davis,SG,1.6,1.6,2.5,1.4,0.7,0.2
97,Matthew Dellavedova,PG,0.3,0.8,1.8,4.5,0.3,0.1
98,Hamidou Diallo,SG-SF,0.5,3.8,5.2,1.9,0.8,0.5
99,Spencer Dinwiddie,SG,0.7,1.3,4.3,3.0,0.7,0.3
100,Thanasis Antetokounmpo,SF,0.1,1.1,2.2,0.8,0.4,0.2
101,OG Anunoby,SF,2.4,3.4,5.5,2.2,1.5,0.7
102,Trevor Ariza,SF,1.7,1.6,4.8,1.8,1.0,0.6
103,Deni Avdija,SF,1.0,1.4,4.9,1.2,0.6,0.3
104,Will Barton,SF,1.8,2.9,4.0,3.2,0.9,0.4
105,Keita Bates-Diop,SF,0.2,0.8,1.6,0.4,0.4,0.2
106,Nicolas Batum,SF,1.6,1.2,4.7,2.2,1.0,0.6
107,Kent Bazemore,SF,1.1,1.5,3.4,1.6,1.0,0.5
108,DeAndre' Bembry,SF,0.3,2.0,2.9,2.1,1.0,0.4
109,Saddiq Bey,SF,2.5,1.5,4.5,1.4,0.7,0.2
110,Tyler Bey,SF,0.1,0.3,1.1,0.2,0.0,0.1
111,Keljin Blevins,SF,0.1,0.2,0.6,0.2,0.1,0.0
112,Bojan Bogdanović,SF,2.5,3.1,3.9,1.9,0.6,0.1
113,Isaac Bonga,SF,0.3,0.4,1.7,0.6,0.3,0.2
114,Brian Bowen,SF,0.0,0.2,0.5,0.0,0.0,0.0
115,Ignas Brazdeikis,SF,0.8,1.8,3.5,1.3,0.3,0.2
116,Mikal Bridges,SF,1.9,3.2,4.3,2.1,1.1,0.9
117,Oshae Brissett,SF,1.6,1.9,5.5,0.9,0.9,1.0
118,Dillon Brooks,SF,1.9,4.5,2.9,2.3,1.2,0.4
119,Troy Brown Jr.,SF,0.6,1.2,3.1,0.9,0.3,0.2
120,Reggie Bullock,SF,2.5,1.3,3.4,1.5,0.8,0.2
121,Jimmy Butler,SF,0.5,6.6,6.9,7.1,2.1,0.3
122,Torrey Craig,SF,0.8,1.4,3.9,1.0,0.6,0.5
123,CJ Elleby,SF,0.2,0.6,1.1,0.3,0.2,0.1
124,James Ennis III,SF,1.1,1.7,4.0,1.5,0.8,0.2
125,Paul George,SF,3.2,5.1,6.6,5.2,1.1,0.4
126,Jerami Grant,SF,2.1,5.3,4.6,2.8,0.6,1.1
127,Danny Green,SF,2.5,0.7,3.8,1.7,1.3,0.8
128,Josh Hall,SF,0.2,1.2,2.8,1.3,0.2,0.0
129,Joe Harris,SF,3.1,2.1,3.6,1.9,0.7,0.2
130,Josh Hart,SF,1.3,1.9,8.0,2.3,0.8,0.3
131,Gordon Hayward,SF,1.9,5.1,5.9,4.1,1.2,0.3
132,Jaylen Hoard,SF,0.0,2.3,3.4,1.3,0.7,0.3
133,Rodney Hood,SF,0.6,1.1,1.9,1.0,0.4,0.1
134,Danuel House Jr.,SF,1.5,1.6,3.7,1.9,0.6,0.4
135,Elijah Hughes,SF,0.4,0.1,0.5,0.3,0.1,0.1
136,De'Andre Hunter,SF,1.3,3.9,4.8,1.9,0.8,0.5
137,Chandler Hutchison,SF,0.3,1.2,3.1,0.7,0.5,0.2
138,Andre Iguodala,SF,1.0,0.6,3.5,2.3,0.9,0.6
139,Joe Ingles,SF,2.7,1.4,3.6,4.7,0.7,0.2
140,Brandon Ingram,SF,2.3,6.1,4.9,4.9,0.7,0.6
141,Wes Iwundu,SF,0.1,0.7,2.2,0.4,0.4,0.1
142,Justin Jackson,SF,1.1,1.6,2.3,1.5,0.4,0.1
143,Justin James,SF,0.4,1.1,0.8,0.6,0.2,0.1
144,Keldon Johnson,SF,0.9,4.0,6.0,1.8,0.6,0.3
145,Derrick Jones Jr.,SF,0.7,1.8,3.5,0.8,0.6,0.9
146,Louis King,SF,0.7,2.2,3.0,1.5,1.2,0.5
147,Kevin Knox,SF,0.8,0.5,1.5,0.5,0.3,0.1
148,Kyle Kuzma,SF,2.0,2.9,6.1,1.9,0.5,0.6
149,Anthony Lamb,SF,1.0,1.0,2.9,1.0,0.3,0.2
